number,sequence,media,induction,strain,TE_1,TE_2,TE_3,TE_4,TE_aver,TE_SD,viable_1,viable_2,viable_3,viable_4,viable_aver,viable_SD,trans_1,trans_2,trans_3,trans_4,trans_aver,trans_SD,,,,
1,A,LB,FALSE,1A751,,4.55E-06,9.44E-07,4.83E-07,1.99E-06,2.22E-06,,1100000000,900000000,1450000000,1150000000,278388218.1,1700,5000,850,700,2062.5,2007.226528,,,,
2,C,LB,FALSE,1A751,,5.31E-07,3.41E-07,8.52E-07,5.75E-07,2.58E-07,,1600000000,1100000000,1350000000,1350000000,250000000,1500,850,375,1150,968.75,476.6965317,,,,
3,D,LB,FALSE,1A751,,1.02E-06,6.39E-07,0.00E+00,5.54E-07,5.16E-07,,1150000000,900000000,1750000000,1266666667,436844747.4,2000,1175,575,0,937.5,855.4969316,,,,
4,E,LB,FALSE,1A751,0.0000008,0.0000015,3.41E-07,,8.80E-07,5.84E-07,1875000000,600000000,1100000000,,1191666667,642423795.7,1500,900,375,,925,562.9165125,,,,
5,F,LB,FALSE,1A751,3.08E-06,0.000002,5.19E-07,,1.87E-06,1.29E-06,1300000000,700000000,1300000000,,1100000000,346410161.5,4000,1400,675,,2025,1748.392118,,,,
6,A,LB,FALSE,1A976,8.21E-07,9.58E-07,1.06E-06,,9.45E-07,1.18E-07,975000000,600000000,900000000,,825000000,198431348.3,800,575,950,,775,188.7458609,,,,
7,C,LB,FALSE,1A976,2.30E-07,0.00000025,8.48E-07,,4.43E-07,3.51E-07,1525000000,600000000,1150000000,,1091666667,465250828.4,350,150,975,,491.6666667,430.3583778,,,,
8,D,LB,FALSE,1A976,,2.67E-07,2.23E-06,7.00E-07,1.06E-06,1.03E-06,,750000000,550000000,1000000000,766666666.7,225462487.6,650,200,1225,700,693.75,419.5111242,,,,
9,E,LB,FALSE,1A976,1.67E-07,2.11E-07,1.54E-06,,6.38E-07,7.78E-07,1800000000,950000000,700000000,,1150000000,576628129.7,300,200,1075,,525,478.9311015,,,,
10,F,LB,FALSE,1A976,8.06E-07,0.00000045,1.36E-06,,8.71E-07,4.57E-07,1675000000,1000000000,700000000,,1125000000,499374608.9,1350,450,950,,916.6666667,450.9249753,,,,
11,A,LB,TRUE,1A751,1.53E-06,9.68E-07,1.03E-06,,1.18E-06,3.08E-07,1800000000,1550000000,800000000,,1383333333,520416499.9,2750,1500,825,,1691.666667,976.7079058,,,,
12,C,LB,TRUE,1A751,,6.90E-07,3.55E-07,5.00E-07,5.15E-07,1.68E-07,,1450000000,1550000000,1400000000,1466666667,76376261.58,4250,1000,550,700,1625,1759.971591,,,,
13,D,LB,TRUE,1A751,,9.81E-07,5.48E-07,2.94E-08,5.20E-07,4.77E-07,,1350000000,1050000000,1700000000,1366666667,325320354.9,3250,1325,575,50,1300,1401.338646,,,,
14,E,LB,TRUE,1A751,,5.21E-07,6.05E-07,1.33E-07,4.20E-07,2.52E-07,,1200000000,950000000,1500000000,1216666667,275378527.4,3000,625,575,200,1100,1280.787518,,,,
15,F,LB,TRUE,1A751,,0.000002,3.16E-07,0.00E+00,7.72E-07,1.08E-06,,1250000000,950000000,1150000000,1116666667,152752523.2,12500,2500,300,0,3825,5889.750985,,,,
