,sample,mu1_1,s1_1,A1_1,mu2_1,s2_1,A2_1,fneg_1,A1+A2,A_neg,fa1,mu1_2,s1_2,A1_2,mu2_2,s2_2,A2_2,fneg_2,,,fa2,mu1_3,s1_3,A1_3,mu2_3,s2_3,A2_3,fneg_3,,,fa3
0,400_1,6.108456889,0.649446824,13405.80288,8.552370569,0.568149427,11169.35188,0.005440107,24575.15477,134.4227365,0.452025207,6.133272412,0.600228294,18005.34943,8.210613315,0.481326842,4910.620611,0.035182079,22915.97004,835.6307021,0.206749038,6.132601118,0.576531484,19274.14211,8.236348872,0.440306771,3946.675622,0.024231713,23220.81773,576.6534896,0.165844328
1,400_2,6.108628597,0.584828,21445.383,8.646651332,0.496273959,2597.621794,0.006008142,24043.00479,145.3269351,0.107391523,6.156852065,0.584646551,21780.24793,8.411924063,0.423346183,585.3631103,0.042252645,22365.61104,986.6967761,0.025066606,6.148095994,0.564899196,22367.80441,8.287625603,0.352282184,641.4228785,0.023477643,23009.22729,553.1900337,0.027222287
2,400_3,6.101504934,0.579384366,23578.32145,8.709482518,0.439563393,432.675591,0.006639925,24010.99704,160.496901,0.017900242,6.150217121,0.582973218,22309.24406,8.70017258,0.312799848,56.54684377,0.042325611,22365.7909,988.483959,0.002421263,6.158075819,0.56336578,23095.0827,8.405053986,0.295972143,59.87426508,0.021809415,23154.95697,516.2552993,0.002529413
3,400_4,6.099325622,0.5774691,23935.34248,8.91138278,0.077656971,0.276750047,0.006444223,23935.61923,155.2469236,1.14878E-05,6.15034072,0.585405974,22389.32295,9.447538302,0.333149762,1.498727056,0.041515702,22390.82168,969.8340279,6.4156E-05,6.167585451,0.559985638,23137.26174,8.706696654,0.019534278,2.906118144,0.021445533,23140.16786,507.1288778,0.000122894
4,400G_1,6.071405501,0.577672869,14596.75567,8.529488151,0.517342553,6731.732378,0.00659604,21328.48804,141.6176686,0.313539787,6.100984105,0.600811363,16618.46776,8.23279423,0.4777781,6298.27248,0.035032397,22916.74024,831.9743881,0.265204773,6.099240395,0.59556072,15805.61364,8.297253389,0.485754195,7752.264828,0.020097449,23557.87847,483.1636288,0.3224596
5,400G_2,6.103735814,0.575000162,22722.41724,8.816247779,0.51267078,1320.037217,0.006056782,24042.45446,146.5072638,0.054571884,6.148271263,0.584808836,21675.53414,8.627169009,0.476522843,675.2504466,0.043744883,22350.78459,1022.459844,0.028889889,6.131542096,0.55557481,22072.22809,8.302147848,0.408159246,1039.509933,0.021562251,23111.73802,509.3232429,0.044007757
6,400G_3,6.086070502,0.587663469,23757.2368,8.851096748,0.410323159,220.2681361,0.006643143,23977.50493,160.3512315,0.009125423,6.172073839,0.585296427,22472.67185,8.794846925,0.316967145,50.28312205,0.03919865,22522.95497,918.8886216,0.002145016,6.128812392,0.563221086,23111.06763,8.456488336,0.292872422,59.99424308,0.021808766,23171.06187,516.5986363,0.002532721
7,400G_4,6.089204847,0.592051679,23990.95348,9.532493676,0.269783224,0.440444377,0.006839101,23991.39393,165.2094564,1.82329E-05,6.188866299,0.587382103,22607.88466,9.221008862,0.28484468,1.544994757,0.037902893,22609.42966,890.7237903,6.5744E-05,6.148126762,0.558661123,23181.1828,8.622082757,0.045272975,0.179757782,0.020911334,23181.36256,495.1065656,7.59225E-06
8,570_1,6.106535686,0.595320632,23659.91146,8.184102597,0.534740314,333.9883751,0.007291822,23993.89984,176.2443775,0.01381822,6.176208096,0.578870929,22541.92989,8.392141874,0.271317774,32.05146405,0.03544063,22573.98136,829.4317108,0.001369521,6.112409165,0.563152142,23037.20474,8.261447823,0.236700285,27.92299585,0.022072686,23065.12774,520.600381,0.001183894
9,570_4,6.086247661,0.599584528,24079.32861,16.47968075,0.129727196,5.802703546,0.006704494,24085.13131,162.5685607,0.000239309,6.227966172,0.576705669,22752.43223,9.29231286,0.261021203,1.935065884,0.030632695,22754.3673,719.0541488,8.24365E-05,6.194841859,0.564769057,23272.30395,11.05548882,0.157041421,8.010934754,0.018338026,23280.31488,434.8900478,0.000337797
